Year,Deaths,2012,2013,2014,2015,2016,2017
2017,"53,238"," 35,824 "," 36,014 "," 37,055 "," 38,531 "," 39,014 "," 40,252 "
2016,"52,466"," 35,824 "," 36,014 "," 37,055 "," 38,531 "," 39,014 "," 40,252 "
2015,"51,909"," 35,824 "," 36,014 "," 37,055 "," 38,531 "," 39,014 "," 40,252 "
2014,"50,215"," 35,824 "," 36,014 "," 37,055 "," 38,531 "," 39,014 "," 40,252 "
2013,"50,189"," 35,824 "," 36,014 "," 37,055 "," 38,531 "," 39,014 "," 40,252 "
2012,"49,301"," 35,824 "," 36,014 "," 37,055 "," 38,531 "," 39,014 "," 40,252 "
2017,"4,411"," 53,708 "," 52,812 "," 55,867 "," 57,575 "," 56,278 "," 57,278 "
2016,"4,494"," 53,708 "," 52,812 "," 55,867 "," 57,575 "," 56,278 "," 57,278 "
2015,"4,316"," 53,708 "," 52,812 "," 55,867 "," 57,575 "," 56,278 "," 57,278 "
2014,"4,128"," 53,708 "," 52,812 "," 55,867 "," 57,575 "," 56,278 "," 57,278 "
2013,"3,997"," 53,708 "," 52,812 "," 55,867 "," 57,575 "," 56,278 "," 57,278 "
2012,"3,912"," 53,708 "," 52,812 "," 55,867 "," 57,575 "," 56,278 "," 57,278 "
2017,"57,758"," 36,545 "," 37,139 "," 38,756 "," 40,334 "," 41,473 "," 43,301 "
2016,"56,645"," 36,545 "," 37,139 "," 38,756 "," 40,334 "," 41,473 "," 43,301 "
2015,"54,299"," 36,545 "," 37,139 "," 38,756 "," 40,334 "," 41,473 "," 43,301 "
2014,"51,538"," 36,545 "," 37,139 "," 38,756 "," 40,334 "," 41,473 "," 43,301 "
2013,"50,534"," 36,545 "," 37,139 "," 38,756 "," 40,334 "," 41,473 "," 43,301 "
2012,"49,549"," 36,545 "," 37,139 "," 38,756 "," 40,334 "," 41,473 "," 43,301 "
2017,"32,588"," 36,582 "," 36,677 "," 38,749 "," 39,968 "," 40,873 "," 42,056 "
2016,"31,756"," 36,582 "," 36,677 "," 38,749 "," 39,968 "," 40,873 "," 42,056 "
2015,"31,617"," 36,582 "," 36,677 "," 38,749 "," 39,968 "," 40,873 "," 42,056 "
2014,"30,467"," 36,582 "," 36,677 "," 38,749 "," 39,968 "," 40,873 "," 42,056 "
2013,"30,437"," 36,582 "," 36,677 "," 38,749 "," 39,968 "," 40,873 "," 42,056 "
2012,"30,117"," 36,582 "," 36,677 "," 38,749 "," 39,968 "," 40,873 "," 42,056 "
2017,"268,189"," 48,121 "," 48,502 "," 51,266 "," 54,546 "," 56,560 "," 58,813 "
2016,"262,240"," 48,121 "," 48,502 "," 51,266 "," 54,546 "," 56,560 "," 58,813 "
2015,"259,206"," 48,121 "," 48,502 "," 51,266 "," 54,546 "," 56,560 "," 58,813 "
2014,"245,929"," 48,121 "," 48,502 "," 51,266 "," 54,546 "," 56,560 "," 58,813 "
2013,"248,359"," 48,121 "," 48,502 "," 51,266 "," 54,546 "," 56,560 "," 58,813 "
2012,"242,554"," 48,121 "," 48,502 "," 51,266 "," 54,546 "," 56,560 "," 58,813 "
2017,"38,063"," 45,630 "," 47,404 "," 50,797 "," 52,339 "," 52,390 "," 55,294 "
2016,"37,530"," 45,630 "," 47,404 "," 50,797 "," 52,339 "," 52,390 "," 55,294 "
2015,"36,349"," 45,630 "," 47,404 "," 50,797 "," 52,339 "," 52,390 "," 55,294 "
2014,"35,237"," 45,630 "," 47,404 "," 50,797 "," 52,339 "," 52,390 "," 55,294 "
2013,"33,712"," 45,630 "," 47,404 "," 50,797 "," 52,339 "," 52,390 "," 55,294 "
2012,"33,133"," 45,630 "," 47,404 "," 50,797 "," 52,339 "," 52,390 "," 55,294 "
2017,"31,312"," 64,121 "," 62,647 "," 65,498 "," 67,321 "," 68,680 "," 70,163 "
2016,"30,543"," 64,121 "," 62,647 "," 65,498 "," 67,321 "," 68,680 "," 70,163 "
2015,"30,535"," 64,121 "," 62,647 "," 65,498 "," 67,321 "," 68,680 "," 70,163 "
2014,"29,860"," 64,121 "," 62,647 "," 65,498 "," 67,321 "," 68,680 "," 70,163 "
2013,"29,632"," 64,121 "," 62,647 "," 65,498 "," 67,321 "," 68,680 "," 70,163 "
2012,"29,316"," 64,121 "," 62,647 "," 65,498 "," 67,321 "," 68,680 "," 70,163 "
2017,"9,178"," 44,070 "," 44,404 "," 46,015 "," 47,868 "," 48,734 "," 50,516 "
2016,"8,874"," 44,070 "," 44,404 "," 46,015 "," 47,868 "," 48,734 "," 50,516 "
2015,"8,582"," 44,070 "," 44,404 "," 46,015 "," 47,868 "," 48,734 "," 50,516 "
2014,"8,260"," 44,070 "," 44,404 "," 46,015 "," 47,868 "," 48,734 "," 50,516 "
2013,"7,967"," 44,070 "," 44,404 "," 46,015 "," 47,868 "," 48,734 "," 50,516 "
2012,"7,875"," 44,070 "," 44,404 "," 46,015 "," 47,868 "," 48,734 "," 50,516 "
2017,"4,965"," 68,148 "," 67,774 "," 71,469 "," 75,623 "," 78,186 "," 79,967 "
2016,"5,037"," 68,148 "," 67,774 "," 71,469 "," 75,623 "," 78,186 "," 79,967 "
2015,"4,871"," 68,148 "," 67,774 "," 71,469 "," 75,623 "," 78,186 "," 79,967 "
2014,"4,723"," 68,148 "," 67,774 "," 71,469 "," 75,623 "," 78,186 "," 79,967 "
2013,"4,719"," 68,148 "," 67,774 "," 71,469 "," 75,623 "," 78,186 "," 79,967 "
2012,"4,650"," 68,148 "," 67,774 "," 71,469 "," 75,623 "," 78,186 "," 79,967 "
2017,"203,636"," 41,540 "," 41,162 "," 43,516 "," 45,659 "," 46,454 "," 49,020 "
2016,"197,313"," 41,540 "," 41,162 "," 43,516 "," 45,659 "," 46,454 "," 49,020 "
2015,"191,737"," 41,540 "," 41,162 "," 43,516 "," 45,659 "," 46,454 "," 49,020 "
2014,"185,956"," 41,540 "," 41,162 "," 43,516 "," 45,659 "," 46,454 "," 49,020 "
2013,"181,112"," 41,540 "," 41,162 "," 43,516 "," 45,659 "," 46,454 "," 49,020 "
2012,"177,291"," 41,540 "," 41,162 "," 43,516 "," 45,659 "," 46,454 "," 49,020 "
2017,"83,098"," 37,495 "," 37,794 "," 39,969 "," 41,941 "," 43,033 "," 44,996 "
2016,"81,428"," 37,495 "," 37,794 "," 39,969 "," 41,941 "," 43,033 "," 44,996 "
2015,"79,942"," 37,495 "," 37,794 "," 39,969 "," 41,941 "," 43,033 "," 44,996 "
2014,"76,887"," 37,495 "," 37,794 "," 39,969 "," 41,941 "," 43,033 "," 44,996 "
2013,"75,088"," 37,495 "," 37,794 "," 39,969 "," 41,941 "," 43,033 "," 44,996 "
2012,"72,847"," 37,495 "," 37,794 "," 39,969 "," 41,941 "," 43,033 "," 44,996 "
2017,"11,390"," 43,812 "," 43,931 "," 46,044 "," 47,777 "," 49,122 "," 51,055 "
2016,"10,913"," 43,812 "," 43,931 "," 46,044 "," 47,777 "," 49,122 "," 51,055 "
2015,"11,053"," 43,812 "," 43,931 "," 46,044 "," 47,777 "," 49,122 "," 51,055 "
2014,"10,767"," 43,812 "," 43,931 "," 46,044 "," 47,777 "," 49,122 "," 51,055 "
2013,"10,505"," 43,812 "," 43,931 "," 46,044 "," 47,777 "," 49,122 "," 51,055 "
2012,"10,274"," 43,812 "," 43,931 "," 46,044 "," 47,777 "," 49,122 "," 51,055 "
2017,"14,011"," 35,110 "," 36,095 "," 37,680 "," 39,386 "," 40,098 "," 41,560 "
2016,"13,366"," 35,110 "," 36,095 "," 37,680 "," 39,386 "," 40,098 "," 41,560 "
2015,"13,026"," 35,110 "," 36,095 "," 37,680 "," 39,386 "," 40,098 "," 41,560 "
2014,"12,613"," 35,110 "," 36,095 "," 37,680 "," 39,386 "," 40,098 "," 41,560 "
2013,"12,434"," 35,110 "," 36,095 "," 37,680 "," 39,386 "," 40,098 "," 41,560 "
2012,"11,998"," 35,110 "," 36,095 "," 37,680 "," 39,386 "," 40,098 "," 41,560 "
2017,"109,721"," 46,029 "," 47,047 "," 49,238 "," 51,443 "," 52,036 "," 53,645 "
2016,"107,020"," 46,029 "," 47,047 "," 49,238 "," 51,443 "," 52,036 "," 53,645 "
2015,"106,872"," 46,029 "," 47,047 "," 49,238 "," 51,443 "," 52,036 "," 53,645 "
2014,"105,293"," 46,029 "," 47,047 "," 49,238 "," 51,443 "," 52,036 "," 53,645 "
2013,"103,401"," 46,029 "," 47,047 "," 49,238 "," 51,443 "," 52,036 "," 53,645 "
2012,"102,433"," 46,029 "," 47,047 "," 49,238 "," 51,443 "," 52,036 "," 53,645 "
2017,"65,597"," 39,433 "," 39,766 "," 41,188 "," 42,667 "," 43,645 "," 45,116 "
2016,"63,473"," 39,433 "," 39,766 "," 41,188 "," 42,667 "," 43,645 "," 45,116 "
2015,"62,713"," 39,433 "," 39,766 "," 41,188 "," 42,667 "," 43,645 "," 45,116 "
2014,"60,940"," 39,433 "," 39,766 "," 41,188 "," 42,667 "," 43,645 "," 45,116 "
2013,"60,716"," 39,433 "," 39,766 "," 41,188 "," 42,667 "," 43,645 "," 45,116 "
2012,"59,332"," 39,433 "," 39,766 "," 41,188 "," 42,667 "," 43,645 "," 45,116 "
2017,"30,530"," 42,873 "," 43,439 "," 44,699 "," 46,104 "," 46,291 "," 47,286 "
2016,"29,538"," 42,873 "," 43,439 "," 44,699 "," 46,104 "," 46,291 "," 47,286 "
2015,"29,600"," 42,873 "," 43,439 "," 44,699 "," 46,104 "," 46,291 "," 47,286 "
2014,"29,190"," 42,873 "," 43,439 "," 44,699 "," 46,104 "," 46,291 "," 47,286 "
2013,"28,948"," 42,873 "," 43,439 "," 44,699 "," 46,104 "," 46,291 "," 47,286 "
2012,"28,389"," 42,873 "," 43,439 "," 44,699 "," 46,104 "," 46,291 "," 47,286 "
2017,"27,063"," 45,294 "," 46,174 "," 47,013 "," 47,332 "," 47,326 "," 48,756 "
2016,"26,245"," 45,294 "," 46,174 "," 47,013 "," 47,332 "," 47,326 "," 48,756 "
2015,"26,664"," 45,294 "," 46,174 "," 47,013 "," 47,332 "," 47,326 "," 48,756 "
2014,"25,793"," 45,294 "," 46,174 "," 47,013 "," 47,332 "," 47,326 "," 48,756 "
2013,"25,414"," 45,294 "," 46,174 "," 47,013 "," 47,332 "," 47,326 "," 48,756 "
2012,"25,145"," 45,294 "," 46,174 "," 47,013 "," 47,332 "," 47,326 "," 48,756 "
2017,"48,212"," 35,875 "," 36,058 "," 37,645 "," 39,232 "," 39,750 "," 40,770 "
2016,"47,827"," 35,875 "," 36,058 "," 37,645 "," 39,232 "," 39,750 "," 40,770 "
2015,"46,564"," 35,875 "," 36,058 "," 37,645 "," 39,232 "," 39,750 "," 40,770 "
2014,"44,838"," 35,875 "," 36,058 "," 37,645 "," 39,232 "," 39,750 "," 40,770 "
2013,"43,759"," 35,875 "," 36,058 "," 37,645 "," 39,232 "," 39,750 "," 40,770 "
2012,"43,664"," 35,875 "," 36,058 "," 37,645 "," 39,232 "," 39,750 "," 40,770 "
2017,"45,804"," 41,003 "," 41,376 "," 43,085 "," 43,113 "," 42,725 "," 44,074 "
2016,"44,306"," 41,003 "," 41,376 "," 43,085 "," 43,113 "," 42,725 "," 44,074 "
2015,"43,716"," 41,003 "," 41,376 "," 43,085 "," 43,113 "," 42,725 "," 44,074 "
2014,"43,869"," 41,003 "," 41,376 "," 43,085 "," 43,113 "," 42,725 "," 44,074 "
2013,"43,270"," 41,003 "," 41,376 "," 43,085 "," 43,113 "," 42,725 "," 44,074 "
2012,"42,320"," 41,003 "," 41,376 "," 43,085 "," 43,113 "," 42,725 "," 44,074 "
2017,"14,676"," 40,411 "," 40,329 "," 41,797 "," 43,672 "," 44,740 "," 46,421 "
2016,"14,182"," 40,411 "," 40,329 "," 41,797 "," 43,672 "," 44,740 "," 46,421 "
2015,"14,479"," 40,411 "," 40,329 "," 41,797 "," 43,672 "," 44,740 "," 46,421 "
2014,"13,510"," 40,411 "," 40,329 "," 41,797 "," 43,672 "," 44,740 "," 46,421 "
2013,"13,547"," 40,411 "," 40,329 "," 41,797 "," 43,672 "," 44,740 "," 46,421 "
2012,"12,870"," 40,411 "," 40,329 "," 41,797 "," 43,672 "," 44,740 "," 46,421 "
2017,"49,926"," 52,787 "," 52,249 "," 53,659 "," 55,825 "," 57,632 "," 59,183 "
2016,"48,824"," 52,787 "," 52,249 "," 53,659 "," 55,825 "," 57,632 "," 59,183 "
2015,"47,247"," 52,787 "," 52,249 "," 53,659 "," 55,825 "," 57,632 "," 59,183 "
2014,"45,867"," 52,787 "," 52,249 "," 53,659 "," 55,825 "," 57,632 "," 59,183 "
2013,"45,689"," 52,787 "," 52,249 "," 53,659 "," 55,825 "," 57,632 "," 59,183 "
2012,"44,477"," 52,787 "," 52,249 "," 53,659 "," 55,825 "," 57,632 "," 59,183 "
2017,"58,803"," 56,669 "," 56,628 "," 58,924 "," 62,376 "," 64,295 "," 66,625 "
2016,"56,961"," 56,669 "," 56,628 "," 58,924 "," 62,376 "," 64,295 "," 66,625 "
2015,"57,806"," 56,669 "," 56,628 "," 58,924 "," 62,376 "," 64,295 "," 66,625 "
2014,"55,200"," 56,669 "," 56,628 "," 58,924 "," 62,376 "," 64,295 "," 66,625 "
2013,"54,567"," 56,669 "," 56,628 "," 58,924 "," 62,376 "," 64,295 "," 66,625 "
2012,"53,177"," 56,669 "," 56,628 "," 58,924 "," 62,376 "," 64,295 "," 66,625 "
2017,"97,602"," 39,266 "," 39,566 "," 41,207 "," 43,425 "," 44,527 "," 45,648 "
2016,"96,231"," 39,266 "," 39,566 "," 41,207 "," 43,425 "," 44,527 "," 45,648 "
2015,"95,140"," 39,266 "," 39,566 "," 41,207 "," 43,425 "," 44,527 "," 45,648 "
2014,"93,914"," 39,266 "," 39,566 "," 41,207 "," 43,425 "," 44,527 "," 45,648 "
2013,"92,408"," 39,266 "," 39,566 "," 41,207 "," 43,425 "," 44,527 "," 45,648 "
2012,"89,901"," 39,266 "," 39,566 "," 41,207 "," 43,425 "," 44,527 "," 45,648 "
2017,"44,371"," 47,726 "," 47,838 "," 49,967 "," 51,985 "," 52,596 "," 54,317 "
2016,"43,078"," 47,726 "," 47,838 "," 49,967 "," 51,985 "," 52,596 "," 54,317 "
2015,"42,800"," 47,726 "," 47,838 "," 49,967 "," 51,985 "," 52,596 "," 54,317 "
2014,"41,445"," 47,726 "," 47,838 "," 49,967 "," 51,985 "," 52,596 "," 54,317 "
2013,"40,987"," 47,726 "," 47,838 "," 49,967 "," 51,985 "," 52,596 "," 54,317 "
2012,"40,016"," 47,726 "," 47,838 "," 49,967 "," 51,985 "," 52,596 "," 54,317 "
2017,"32,280"," 33,657 "," 34,259 "," 34,896 "," 35,533 "," 36,021 "," 36,907 "
2016,"31,741"," 33,657 "," 34,259 "," 34,896 "," 35,533 "," 36,021 "," 36,907 "
2015,"31,783"," 33,657 "," 34,259 "," 34,896 "," 35,533 "," 36,021 "," 36,907 "
2014,"30,557"," 33,657 "," 34,259 "," 34,896 "," 35,533 "," 36,021 "," 36,907 "
2013,"30,703"," 33,657 "," 34,259 "," 34,896 "," 35,533 "," 36,021 "," 36,907 "
2012,"29,544"," 33,657 "," 34,259 "," 34,896 "," 35,533 "," 36,021 "," 36,907 "
2017,"61,876"," 40,317 "," 40,569 "," 41,963 "," 43,322 "," 44,410 "," 45,376 "
2016,"59,873"," 40,317 "," 40,569 "," 41,963 "," 43,322 "," 44,410 "," 45,376 "
